PERMNO,date,SICCD,TICKER,DCLRDT,PAYDT,HSICMG,DIVAMT,FACPR,FACSHR,BIDLO,ASKHI,PRC,VOL,SHROUT,SPREAD,RETX,ewretd
17830,30/11/2006,3724,UTX,11/10/2006,10/12/2006,,0.26500,0.00000,0.00000,63.97000,66.76000,64.53000,654231,1003651,,-0.018107,0.031168
17830,29/12/2006,3724,UTX,,,,,,,62.06000,65.01000,62.52000,920611,1003651,,-0.031148,0.014800
17830,31/01/2007,3724,UTX,,,,,,,62.47000,68.02000,68.02000,989658,1003651,,0.087972,0.022283
17830,28/02/2007,3724,UTX,05/02/2007,10/03/2007,,0.26500,0.00000,0.00000,65.46000,68.93000,65.64000,779129,994625,,-0.034990,0.002111
17830,30/03/2007,3724,UTX,,,,,,,63.54000,66.73000,65.00000,941086,994625,,-0.009750,0.006545
17830,30/04/2007,3724,UTX,,,,,,,64.08000,68.04000,67.13000,1014620,994430,,0.032769,0.027044
17830,31/05/2007,3724,UTX,11/04/2007,10/06/2007,,0.26500,0.00000,0.00000,67.73000,70.55000,70.55000,854116,994430,,0.050946,0.023123
17830,29/06/2007,3724,UTX,,,,,,,68.87000,72.19000,70.93000,899968,994430,,0.005386,-0.007906
17830,31/07/2007,3724,UTX,,,,,,,72.07000,77.18000,72.97000,1168627,991784,,0.028761,-0.043537
17830,31/08/2007,3724,UTX,13/06/2007,10/09/2007,,0.32000,0.00000,0.00000,71.08000,74.85000,74.63000,1178973,991784,,0.022749,-0.011712
17830,28/09/2007,3724,UTX,,,,,,,73.45000,80.69000,80.48000,798975,991784,,0.078387,0.025364
17830,31/10/2007,3724,UTX,,,,,,,75.44000,82.07000,76.59000,1137686,988508,,-0.048335,0.017406
17830,30/11/2007,3724,UTX,10/10/2007,10/12/2007,,0.32000,0.00000,0.00000,72.68000,76.62000,74.77000,974008,988508,,-0.023763,-0.076617
17830,31/12/2007,3724,UTX,,,,,,,74.75000,78.83000,76.54000,776750,988508,,0.023673,-0.010989
17830,31/01/2008,3724,UTX,,,,,,,67.24000,76.28000,73.27000,1488543,988508,,-0.042723,-0.045066
17830,29/02/2008,3724,UTX,04/02/2008,10/03/2008,,0.32000,0.00000,0.00000,70.51000,74.12000,70.51000,954311,980177,,-0.037669,-0.021401
17830,31/03/2008,3724,UTX,,,,,,,66.23000,70.34000,68.82000,1167839,980177,,-0.023968,-0.025309
